miRNA,Disease,Category,Evidence_class,Source_as_recorded,Reference_1,Reference_2,Study_type,Method,Validated_targets,Pathway_mechanism,Functional_role,Has_exact_sequence
miR-548c-3p,Ovarian cancer,Cancer,E1,HMDD,"[137](Sun, X. et al., 2016)",,In vitro,qRT/PCR Dual-luciferase reporter assay,TWIST,,,True
miR-548c-3p,Prostate cancer,Cancer,E1,Pubmed,"[142](Saffari M. et al., 2019)",,Ex vivo,qRT/PCR,,,,True
miR-548c-5p,Colorectal cancer,Cancer,E1,HMDD; HMDD; HMDD; HMDD,"[26]Zhuo et al., 2018 ; [112](Li, C. et al., 2022); [113](Ge, J. et al., 2019); [114](Yan, S. et al., 2020); [115](Peng, Z. et al., 2019)",,In vitro In vivo,FISH assay qRT/PCR Dual-luciferase reporter assay,PGK1 HIF1A,Glycolysis / metabolic reprogramming Signal trasduction/regulate CDC42,Tumor suppressor,True
miR-548c-5p,Early-Stage Colon Adenocarcinoma,Cancer,E1,HMDD,"[109] (Liu, J. et al., 2017)",,Ex vivo In silico,qRT/PCR miRWalk,,,,True
miR-548c-5p,Preeclampsia,Inflammatory diseases,E1,HMDD,"[24]Zheng et al., 2014",,Ex vivo,qRT/PCR,PTPRO,Inflammatory signaling modulation,Anti-inflammatory,True
miR-548c-5p,Subacute Sclerosing Panencephalitis (SSPE),Infectious diseases,E1,HMDD,"[30](Cakmak et al., 2018)",,Ex vivo,qRT/PCR,,,,True
miR-548c-5p,Human T-cell Leukemia Virus II Infections,Infectious diseases,E1,HMDD,"[49](Pilotti et al., 2022)",,In vitro,qRT-PCR,,,,True
miR-548c-5p,Early-Stage Colon Adenocarcinoma,Cancer,E1,HMDD,"[109](Liu, J. et al., 2017)",,Ex vivo In silico,qRT/PCR miRWalk,,,,True
miR-548c-5p,Rectal cancer,Cancer,E1,HMDD,"[118](Du, B. et al., 2018)",,Ex vivo In silico,Microarray analysis miRWalk,,,,True
miR-548c-5p,Influenza A virus,Infectious diseases,E1,HMDD,"[48](Zabrodskaya et al., 2022)",,In vitro,qRT-PCR,,,,True
miR-548c-5p,Breast cancer,Cancer,E1,HMDD,"[17](He & Wang et al., 2020)",,In vitro,qRT-PCR,,,,True
miR-548d-3p,Osteosarcoma,Cancer,E1,HMDD,"[27]Zhang et al., 2019 ; [76](Chen et al., 2019)",,Ex vivo In vitro,Microarray analysis Dual/luciferase reporter assay qRT-PCR,KRAS,MAPK/ERK signaling,Tumor suppressor,True
miR-548d-3p,Gastric cancer,Cancer,E1,HMDD; HMDD; HMDD,"[87](Huang et al., 2022); [88](Liang et al., 2020); [92](Yu, S. et al., 2022)",,In vitro In vivo,Microarray assay qRT/PCR Dual-luciferase reporter assay,RSK4 KLF9,MAPK signaling regulation TPTEP1 regulates miR-548d-3p/KLF9/PER1 axis,Oncogenic,True
miR-548d-3p,Breast cancer,Cancer,E1,HMDD,"[23]Záveský et al., 2022 ; [127](Song et al., 2016)",,In vitro,qRT/PCR Dual-luciferase reporter assay,TP53BP2,Apoptosis regulation,Context-dependent,True
miR-548d-3p,American Tegumentary Leishmaniasis,Infectious diseases,E1,HMDD,"[20](Souza et al., 2021)",,Ex vivo In silico,qRT-PCR TargetScan DIANA-miRpath 3.0,,,,True
miR-548d-3p,Human Visceral Leishmaniasis,Infectious diseases,E1,Pubmed,"[12](Ramos-Sanchez et al., 2022)",,Ex vivo In silico,qRT-PCR TargetScan,,,,True
